id,produto,categoria,quantidade,valor,data,vendedor,forma_pagamento
410,HD 2TB,Componentes,3,420,2026-02-27,Ana,Cartao
411,Tablet,Eletronicos,1,1500,2026-03-18,Carlos,Pix
412,Monitor,Eletronicos,1,1200,2026-04-16,Julia,Cartao
413,Teclado,Perifericos,1,250,2026-01-29,Marina,Pix
414,Headset,Perifericos,2,300,2026-08-25,Julia,Cartao
415,Teclado,Perifericos,1,250,2026-01-02,Julia,Pix
416,Teclado,Perifericos,4,250,2026-02-02,Pedro,Boleto
417,Notebook,Eletronicos,1,3500,2026-08-30,Ana,Pix
418,Monitor,Eletronicos,1,1200,2026-08-04,Joao,Boleto
419,Memoria RAM 16GB,Componentes,4,380,2026-07-13,Marina,Pix
420,Memoria RAM 16GB,Componentes,1,380,2026-03-10,Julia,Boleto
421,Placa de Video,Componentes,4,2800,2026-07-21,Pedro,Pix
422,Memoria RAM 16GB,Componentes,2,380,2026-01-12,Joao,Cartao
423,Teclado,Perifericos,1,250,2026-07-14,Carlos,Pix
424,Mouse,Perifericos,1,120,2026-02-27,Ana,Cartao
425,SSD 1TB,Componentes,1,450,2026-01-09,Carlos,Pix
426,Notebook,Eletronicos,1,3500,2026-01-25,Carlos,Cartao
427,Mouse,Perifericos,5,120,2026-04-22,Ana,Pix
428,Mouse,Perifericos,2,120,2026-06-13,Pedro,Cartao
429,Mouse,Perifericos,1,120,2026-06-04,Carlos,Boleto
430,Teclado,Perifericos,2,250,2026-05-21,Ana,Cartao
431,SSD 1TB,Componentes,2,450,2026-03-31,Julia,Cartao
432,Notebook,Eletronicos,2,3500,2026-06-26,Julia,Cartao
433,Mouse,Perifericos,1,120,2026-08-02,Marina,Pix
434,SSD 1TB,Componentes,1,450,2026-08-31,Carlos,Boleto
435,Webcam,Perifericos,4,280,2026-08-26,Ana,Cartao
436,Headset,Perifericos,1,300,2026-03-10,Marina,Pix
437,Webcam,Perifericos,2,280,2026-08-19,Joao,Pix
438,Smartphone,Eletronicos,2,2200,2026-05-18,Marina,Cartao
439,Memoria RAM 16GB,Componentes,2,380,2026-04-07,Pedro,Cartao
440,Teclado,Perifericos,1,250,2026-06-20,Joao,Boleto
441,HD 2TB,Componentes,1,420,2026-03-02,Julia,Boleto
442,Mouse,Perifericos,2,120,2026-04-15,Marina,Boleto
443,SSD 1TB,Componentes,1,450,2026-07-14,Marina,Cartao
444,Mouse,Perifericos,3,120,2026-09-20,Marina,Cartao
445,SSD 1TB,Componentes,1,450,2026-06-13,Carlos,Pix
446,Headset,Perifericos,1,300,2026-04-24,Julia,Pix
447,HD 2TB,Componentes,1,420,2026-08-02,Joao,Pix
448,Mouse,Perifericos,4,120,2026-05-06,Marina,Cartao
449,Mouse,Perifericos,1,120,2026-09-08,Julia,Cartao
450,Smartphone,Eletronicos,1,2200,2026-06-30,Carlos,Pix
451,Smartphone,Eletronicos,3,2200,2026-01-31,Pedro,Pix
452,HD 2TB,Componentes,3,420,2026-01-25,Ana,Cartao
453,Tablet,Eletronicos,1,1500,2026-03-19,Ana,Pix
454,Notebook,Eletronicos,1,3500,2026-09-05,Julia,Cartao
455,Headset,Perifericos,1,300,2026-01-07,Ana,Cartao
456,Placa de Video,Componentes,2,2800,2026-01-09,Pedro,Cartao
457,Memoria RAM 16GB,Componentes,1,380,2026-04-02,Ana,Boleto
458,Mouse,Perifericos,1,120,2026-09-27,Joao,Cartao
459,Teclado,Perifericos,1,250,2026-07-11,Marina,Cartao
460,Webcam,Perifericos,1,280,2026-06-03,Julia,Cartao
461,Placa de Video,Componentes,1,2800,2026-01-17,Ana,Cartao
462,Teclado,Perifericos,1,250,2026-01-05,Julia,Pix
463,Teclado,Perifericos,4,250,2026-06-19,Pedro,Boleto
464,HD 2TB,Componentes,3,420,2026-01-22,Carlos,Pix
465,Memoria RAM 16GB,Componentes,1,380,2026-09-01,Joao,Pix
466,HD 2TB,Componentes,1,420,2026-01-17,Carlos,Boleto
467,HD 2TB,Componentes,4,420,2026-03-15,Julia,Cartao
468,Mouse,Perifericos,1,120,2026-05-04,Pedro,Cartao
469,HD 2TB,Componentes,1,420,2026-06-19,Marina,Cartao
470,Placa de Video,Componentes,1,2800,2026-02-10,Pedro,Cartao
471,Monitor,Eletronicos,2,1200,2026-04-29,Ana,Pix
472,HD 2TB,Componentes,1,420,2026-07-23,Joao,Pix
473,Placa de Video,Componentes,4,2800,2026-09-09,Carlos,Pix
474,Teclado,Perifericos,1,250,2026-07-14,Ana,Cartao
475,Mouse,Perifericos,1,120,2026-02-07,Ana,Pix
476,SSD 1TB,Componentes,1,450,2026-03-20,Julia,Cartao
477,Monitor,Eletronicos,1,1200,2026-06-07,Marina,Pix
478,Monitor,Eletronicos,2,1200,2026-04-06,Marina,Cartao
479,Teclado,Perifericos,1,250,2026-01-14,Ana,Pix
480,Headset,Perifericos,1,300,2026-06-16,Marina,Pix
481,SSD 1TB,Componentes,2,450,2026-05-05,Pedro,Cartao
482,Smartphone,Eletronicos,1,2200,2026-05-18,Joao,Pix
483,Smartphone,Eletronicos,2,2200,2026-05-22,Marina,Pix
484,Mouse,Perifericos,2,120,2026-05-07,Julia,Cartao
485,Smartphone,Eletronicos,4,2200,2026-02-24,Carlos,Pix
486,Mouse,Perifericos,1,120,2026-07-14,Joao,Cartao
487,Memoria RAM 16GB,Componentes,4,380,2026-03-11,Joao,Pix
488,Tablet,Eletronicos,4,1500,2026-06-10,Carlos,Boleto
489,Mouse,Perifericos,1,120,2026-09-09,Pedro,Cartao
490,Mouse,Perifericos,2,120,2026-07-21,Joao,Pix
491,Headset,Perifericos,1,300,2026-04-03,Julia,Cartao
492,SSD 1TB,Componentes,3,450,2026-04-18,Marina,Cartao
493,Notebook,Eletronicos,2,3500,2026-07-29,Julia,Cartao
494,Mouse,Perifericos,1,120,2026-03-20,Julia,Cartao
495,Teclado,Perifericos,1,250,2026-09-03,Pedro,Cartao
496,HD 2TB,Componentes,4,420,2026-08-03,Pedro,Pix
497,Webcam,Perifericos,2,280,2026-02-13,Ana,Cartao
498,Mouse,Perifericos,2,120,2026-01-23,Pedro,Boleto
499,Teclado,Perifericos,1,250,2026-06-19,Marina,Pix
500,Tablet,Eletronicos,2,1500,2026-09-23,Pedro,Cartao
